query,named_entity,type
Songs with piano similar to this,,
"Similar songs to ""the Hound and the Fox"" by I The Mighty?",the hound and the fox,WoA
"Similar songs to ""the Hound and the Fox"" by I The Mighty?",i the mighty,Artist
"Female singers similar to Lissie, Jess Glynne or the Pretty Reckless?",lissie,Artist
"Female singers similar to Lissie, Jess Glynne or the Pretty Reckless?", jess glynne,Artist
"Female singers similar to Lissie, Jess Glynne or the Pretty Reckless?",the pretty reckless,Artist
Anything similar to this? Even her newer albums have had a different sound,,
Oloff - Stomach Sound,oloff,Artist
Oloff - Stomach Sound,stomach sound,WoA
I can't listen to anything but They Might Be Giants. Help., they might be giants,Artist
Music to listen to whilst drunk ?,,
Suggest for me music like the violin/cello start of this Florence + The Machine concert.,florence + the machine,Artist
"Looking for fast-paced music like this, and I also need to know the genre.",,
"Going for an ""epic"" long run soon. What Epic music should I put on my playlist ?",,
Toilet Jazz,,
Just got into Blonde Redhead.,blonde redhead,Artist
Looking for sad songs with a happy beat.,,
Songs similar to pisces by jinjer please?,pisces,WoA
Songs similar to pisces by jinjer please?,jinjer,Artist
Morning playlist suggestions!,,
Season by Ghost Halo,season,WoA
Season by Ghost Halo,ghost halo,Artist
Looking for music like this suitable for meditation,,
Beats to study/to focus,,
"I'm an idiot when it comes to music, what is the name of this sound and what other songs have it?",,
Are there any rappers that are spiritual successors to Eminem?,eminem,Artist
any music similar to my definition of the psychadelic genre?,,
Music for a drug excessive weekend?,,
"Any songs similar to this one? ""What's a Girl to do"" by Fatima Yamaha",whats a girl to do,WoA
"Any songs similar to this one? ""What's a Girl to do"" by Fatima Yamaha",fatima yamaha,Artist
What are the most essential albums in these genres?,,
"Dark Indie Artists/Playlists like Banks, Lo-Fang, Chaos Chaos and Josef Salvat.",banks,Artist
"Dark Indie Artists/Playlists like Banks, Lo-Fang, Chaos Chaos and Josef Salvat.",lo fang,Artist
"Dark Indie Artists/Playlists like Banks, Lo-Fang, Chaos Chaos and Josef Salvat.", chaos chaos,Artist
"Dark Indie Artists/Playlists like Banks, Lo-Fang, Chaos Chaos and Josef Salvat.",josef salvat,Artist
"songs similar to ""me and your mama""",me and your mama,WoA
Songs like this song?,,
Looking to fill a nostalgic vibe with new music if that makes sense?,,
Looking for visual music,,
"Songs or playlist similar to ""Young"" by Frankie Cosmos",young,WoA
"Songs or playlist similar to ""Young"" by Frankie Cosmos",frankie cosmos,Artist
Music like vaporwave that's not vaporwave,,
Man On Fire (Relax),man on fire,WoA
suggest similar type of music as Ennio Morricone's?,ennio morricones,Artist
"Something similar to background of this PSA, please (ignore voice announcement).",,
any good songs to sleep to?,,
Do you know the name of this artist ??,,
Songs with the same vibe as Midna’s desperate hour?,midnas desperate hour,WoA
Techy-Glitchy Music Suggestions,,
recommend some albums similar to these?,,
"suggestions for a really dark, intense, and/or scary song that would sound cool (and creepy) if played by a string quartet? Nothing too obscure or underground, so at least some people will have heard of it before.",,
"Looking for songs similar to ""Tonight is the night I die""",tonight is the night i die,WoA
What songs are similar to Death letter and Little bird by the white stripes.,death letter,WoA
What songs are similar to Death letter and Little bird by the white stripes.,little bird,WoA
What songs are similar to Death letter and Little bird by the white stripes.,the white stripes,Artist
Songs like I Talk to the Wind by King Crimson,i talk to the wind,WoA
Songs like I Talk to the Wind by King Crimson,king crimson,Artist
I'm looking for music that had a singer song writer sound with electronic/EDM vibes,,
Folk music suggestions pls,,
Modern Music with interesting production?,,
"Looking for powerful, deep, slow & epic songs.",,
I’m making a playlist and I need help. Dad summer barbecue vibes?,,
I'm addicted to Jesse James. recommend music that fits this kind of content?,jesse james,Artist
Simba Shan - SIXTEEN ft. Prince Apollo,prince apollo,Artist
Simba Shan - SIXTEEN ft. Prince Apollo,sixteen,WoA
Simba Shan - SIXTEEN ft. Prince Apollo,simba shan,Artist
Artists similar to steel drivers,steel drivers,Artist
Music like (for lack of a better expression) American super-market pop,,
Multilingual Music,,
psychedelic funk/disco,,
Looking for an album reissue from earlier this year - Psych / Country from the 70's - HELP!,,
Teenage Wrist - Dweeb,dweeb,WoA
Teenage Wrist - Dweeb,teenage wrist,Artist
Songs Like Hit This Hard - Post Malone,hit this hard,WoA
Songs Like Hit This Hard - Post Malone,post malone,Artist
Songs like Styx's Renegade,styxs,Artist
Songs like Styx's Renegade,renegade,WoA
"more music like this, this gives me mixed feelings. i feel relaxed and liked to study playing this kind of music in background",,
Any new Music,,
Introduce me to house music (with a catch),,
Any recommendations for songs like the Segundo Romance album by Luis Miguel?,segundo romance,WoA
Any recommendations for songs like the Segundo Romance album by Luis Miguel?,luis miguel,Artist
I need Some tunes,,
Looking for something strange or funny.,,
Indian songs like Cheshme Man by Dariush,cheshme man,WoA
Indian songs like Cheshme Man by Dariush,dariush,Artist
*Painful* metal vocals like Hard Volume,,
Upbeat positive energy?,,
"suggest me a genre/playlist/anything that sounds like Ariana Grande's vocals on Calvin Hariss' ""Heatstroke""",ariana grandes,Artist
"suggest me a genre/playlist/anything that sounds like Ariana Grande's vocals on Calvin Hariss' ""Heatstroke""",calvin hariss,Artist
"suggest me a genre/playlist/anything that sounds like Ariana Grande's vocals on Calvin Hariss' ""Heatstroke""",heatstroke,WoA
"Stoic, one-note style artists?",stoic,Artist
Victory is Won- Santana,santana,Artist
Victory is Won- Santana,victory is won,WoA
Any songs similar to this style ?,,
Looking for music that sounds like Redline's OST,redlines,WoA
Songs about trying to hate someone?,,
Songs from this era and same rythym?,,
I need more absolute bangers like,,
Looking for music that sounds like a local punk band,,
More music like Zach Callison’s A Picture Perfect Hollywood Heartbreak? (Sad stuff), zach callisons,Artist
More music like Zach Callison’s A Picture Perfect Hollywood Heartbreak? (Sad stuff),a picture perfect hollywood heartbreak,WoA
Any interesting songs with interesting puns?,,
Songs like R. Kelly's Trapped in the Closet: Long story-telling songs with lots of twists (any genre),r kellys,Artist
Songs like R. Kelly's Trapped in the Closet: Long story-telling songs with lots of twists (any genre), trapped in the closet,WoA
Any really powerful and angry songs?,,
a good psychedelic rock band as good as these guys?,,
"Looking for low vibe, dirty trap/house electronic; a combo of trap, bass and deep house",,
artists like tyler the creator??,tyler the creator,Artist
Looking for Narative Lyricisim!!,,
Looking for this type of (latin Jazz?),,
I’m looking for love songs!,,
More fast tempo punk songs,,
Music similar to faun(medieval themed music),,
Looking for similar songs to Better Give U up - FKJ,better give u up,WoA
Looking for similar songs to Better Give U up - FKJ,fkj,Artist
"Looking for something low and melancholic like ""is there anybody out there"" by pink floyd or ""No quarter"" by Led Zeppelin",is there anybody out there,WoA
"Looking for something low and melancholic like ""is there anybody out there"" by pink floyd or ""No quarter"" by Led Zeppelin",pink floyd,Artist
"Looking for something low and melancholic like ""is there anybody out there"" by pink floyd or ""No quarter"" by Led Zeppelin",no quarter,WoA
"Looking for something low and melancholic like ""is there anybody out there"" by pink floyd or ""No quarter"" by Led Zeppelin",led zeppelin,Artist
Jackal -Empathy ( ANAR Remix ),jackal,Artist
Jackal -Empathy ( ANAR Remix ),empathy,WoA
Jackal -Empathy ( ANAR Remix ),anar,Artist
Electronic Music with Vocals,,
"Looking for songs like ""When U Love Somebody"" by the Fruit Bats!",when u love somebody,WoA
"Looking for songs like ""When U Love Somebody"" by the Fruit Bats!",fruit bats,Artist
The fall of troy/Gouge Away and Ambient synthy stuff,the fall of troy,Artist
The fall of troy/Gouge Away and Ambient synthy stuff,gouge away,WoA
Any other japanese songs like this?,,
suggestions for downTempo electronic music,,
Songs Suzie Q by CCR with those kinds of guitar riffs.,suzie q,WoA
Songs Suzie Q by CCR with those kinds of guitar riffs.,ccr,Artist
Looking for chill nostalgic vibes,,
Songs similar to eu4 guns drums and steel soundtrack?,eu4,WoA
Zero 7 - In The Waiting Line,zero 7,Artist
Zero 7 - In The Waiting Line,in the waiting line,WoA
Looking for a certain feel of music.,,
"Just 'discovered' Cat Power. If I like these songs, which of her other songs will I like?",cat power,Artist
New music for eclectic taste?,,
"a song similar to Elvis Presley's ""Love Me""?",elvis presleys,Artist
"a song similar to Elvis Presley's ""Love Me""?",love me,WoA
songs about the entirety of a relationship? (from beginning to breakup),,
"I'm looking for more music like this song, epic orchestral/score but more specific.",,
I'm looking for music or keywords similar to this cute acoustic song.,,
"""Duet mashups"" of two different songs that fit really well?",,
Something like Tool and Pink Floyd,tool,Artist
Something like Tool and Pink Floyd,pink floyd,Artist
Looking for songs like Who I Am (Sim Simma) by Beanie Man,who i am sim simma,WoA
Looking for songs like Who I Am (Sim Simma) by Beanie Man,beanie man,Artist
Good electropop/synthpop,,
Mystic women singers like this one?,,
Mausoleums - GYRE,mausoleums,Artist
Mausoleums - GYRE,gyre,WoA
"Melancholia, doom - Music like Trees of Eternity",trees of eternity,Artist
Appalachian folk music or old gospel?,,
any songs with some minor eldritch themes?,eldritch,WoA
Songs similar to Cold as Ice by M.O.P. or Good Times by Styles P,cold as ice,WoA
Songs similar to Cold as Ice by M.O.P. or Good Times by Styles P,mop,Artist
Songs similar to Cold as Ice by M.O.P. or Good Times by Styles P,good times,WoA
Songs similar to Cold as Ice by M.O.P. or Good Times by Styles P,styles p,Artist
Looking for some pop songs for non-english speaking kids,,
Any suggestions on music that is a fusion of classical Indian and western?,,
Similar albums in style to 'Labi Siffre - Remember My Song'?,labi siffre,Artist
Similar albums in style to 'Labi Siffre - Remember My Song'?,remember my song,WoA
Frenzied music like this?,,
2018 electronic/indie/dance/synth?,,
Slipknot - XiX : looking for similar,slipknot,Artist
Slipknot - XiX : looking for similar,xix,WoA
Hip Hop with chill beats,,
"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists.",rezz,Artist
"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists.",edge,WoA
"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists.",tipper,Artist
"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists.", cubic squeal,WoA
"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists.",jade cicada,Artist
"Looking for song suggestions similar to REZZ - Edge, Tipper - Cubic Squeal, or Jade Cicada - Speaking in Tongues that isn't one of these artists.", speaking in tongues,WoA
I would love some new music,,
